Common name,Genus,Species,Fish type,rows,min_year,max_year,n_year,survey_1,survey_2,survey_3,survey_4,survey_5,region,enviro_layer,med_depth,min_depth,quant_depth
Acadian redifsh,Sebastes,fasciatus,groundfish,,,,,,,,,,nwa,bottom,,,
American plaice,Hippoglossoides,platessoides,groundfish,,,,,,,,,,nwa,bottom,,,
Arrowtooth flounder,Atheresthes,stomias,groundfish,,,,,,,,,,nep,bottom,,,
Atlantic chub mackerel,Scomber,colias,forage fish,,,,,,,,,,NA,pelagic,,,
Atlantic cod,Gadus,morhua,groundfish,,,,,,,,,,nwa,bottom,,,
Atlantic goliath grouper,Epinephelus,itajara,reef fish,,,,,,,,,,nwa,bottom,,,
Atlantic halibut,Hippoglossus,hippoglossus,groundfish,,,,,,,,,,nwa,bottom,,,
Atlantic herring,Clupea,harengus,forage fish,,,,,,,,,,nwa,pelagic,,,
Atlantic mackerel,Scomber,scombrus,forage fish,,,,,,,,,,nwa,pelagic,,,
Atlantic pollock,Pollachius,virens,groundfish,,,,,,,,,,nwa,bottom,,,
Atlantic wolffish,Anarhichas,lupus,groundfish,,,,,,,,,,nwa,bottom,,,
Black grouper,Mycteroperca,bonaci,reef fish,,,,,,,,,,nwa,bottom,,,
Black sea bass,Centropristis,striata,reef fish,,,,,,,,,,nwa,bottom,,,
Black sea bass,Centropristis,striata,reef fish,,,,,,,,,,nwa,bottom,,,
Bluefish,Pomatomus,saltatrix,schooling; pelagic,,,,,,,,,,nep,pelagic,,,
Bocacccio,Sebastes,paucispinis,rockfish,,,,,,,,,,nwa,bottom,,,
Butterfish,Peprilus,triacanthus,schooling; semi-pelagic,,,,,,,,,,nep,pelagic,,,
Canary rockfish,Sebastes,pinniger,rockfish,,,,,,,,,,nep,bottom,,,
Dover sole,Microstomus,pacificus,groundfish,,,,,,,,,,nep,bottom,,,
English sole,Parophrys,vetulus,groundfish,,,,,,,,,,nwa,bottom,,,
Gag grouper,Mycteroperca,microlepis,reef fish,,,,,,,,,,nwa,bottom,,,
Golden tilefish,Lopholatilus,chamaeleonticeps,reef fish,,,,,,,,,,nwa,bottom,,,
Golden tilefish,Lopholatilus,chamaeleonticeps,reef fish,,,,,,,,,,nwa,bottom,,,
Gray triggerfish,Balistes,capriscus,reef fish,,,,,,,,,,nwa,bottom,,,
Haddock,Melanogrammus,aeglefinus,groundfish,,,,,,,,,,nep,bottom,,,
King mackerel,Scomberomorus,cavalla,coastal pelagic,,,,,,,,,,nwa,pelagic,,,
Lingcod,Ophiodon,elongatus,groundfish,,,,,,,,,,NA,bottom,,,
Monkfish,Lophius,americanus,groundfish,,,,,,,,,,nep,bottom,,,
Nassau grouper,Epinephelus,striatus,reef fish,,,,,,,,,,nwa,bottom,,,
Northern anchovy,Engraulis,mordax,schooling,,,,,,,,,,nep,pelagic,,,
Ocean pout,Zoarces,americanus,groundfish,,,,,,,,,,nep,bottom,,,
Pacific halibut,Hippoglossus,stenolepis,groundfish,,,,,,,,,,nep,bottom,,,
Pacific herring,Clupea,pallasii,schooling,,,,,,,,,,nep,pelagic,,,
Pacific mackerel,Scomber,japonicus,schooling,,,,,,,,,,nep,pelagic,,,
Pacific ocean perch,Sebastes,alutus,rockfish,,,,,,,,,,nep,bottom,,,
Pacific sardine,Sardinops,sagax,schooling,,,,,,,,,,nep,pelagic,,,
Pacific whiting,Merluccius,productus,groundfish,,,,,,,,,,nwa,bottom,,,
Petrale sole,Eopsetta,jordani,groundfish,,,,,,,,,,nwa,bottom,,,
Red grouper,Epinephelus,morio,groundfish,,,,,,,,,,nwa,bottom,,,
Red hake,Urophycis,chuss,semi-pelagic,,,,,,,,,,nep,pelagic,,,
Red snapper,Lutjanus,campechanus,reef fish?,,,,,,,,,,nep,bottom,,,
Rex sole,Glyptocephalus,zachirus,groundfish,,,,,,,,,,nwa,bottom,,,
Sablefish,Anoplopoma,fimbria,groundfish,,,,,,,,,,nep,bottom,,,
Scup,Stenotomus,chrysops,semi-pelagic,,,,,,,,,,nwa,pelagic,,,
Shortspine thornyhead,Sebastolobus,alascanus,rockfish,,,,,,,,,,nwa,bottom,,,
Silver hake,Merluccius,bilinearis,semi-pelagic,,,,,,,,,,nwa,pelagic,,,
Spanish mackerel,Scomberomorus,maculatus,schooling; pelagic,,,,,,,,,,nwa,pelagic,,,
Summer flounder,Paralichthys,dentatus,groundfish,,,,,,,,,,nwa,bottom,,,
Tilefish,Caulolatilus,microps,reef fish,,,,,,,,,,nwa,bottom,,,
Tilefish,Caulolatilus,microps,reef fish,,,,,,,,,,nep,bottom,,,
Vermillion snapper,Rhomboplites,aurorubens,groundfish?,,,,,,,,,,nwa,bottom,,,
White hake,Urophycis,tenuis,groundfish,,,,,,,,,,nwa,bottom,,,
Widow rockfish,Sebastes,entomelas,rockfish,,,,,,,,,,nwa,bottom,,,
Windowpane flounder,Scophthalmus,aquosus,groundfish,,,,,,,,,,NA,bottom,,,
Winter flounder,Pseudopleuronectes,americanus,groundfish,,,,,,,,,,nep,bottom,,,
Witch flounder,Glyptocephalus,cynoglossus,groundfish,,,,,,,,,,NA,bottom,,,
Wreckfish,Polyprion,americanus,reef fish,,,,,,,,,,nep,bottom,,,
Yelloweye rockfish,Sebastes,ruberrimus,rockfish,,,,,,,,,,,bottom,,,
Yellowtail flounder,Limanda,ferruginea,groundfish,,,,,,,,,,,bottom,,,
Yellowtail rockfish,Sebastes,flavidus,rockfish,,,,,,,,,,,bottom,,,
