"","Common.name","Genus","Species","Fish.type","rows","min_year","max_year","n_year","survey_1","survey_2","survey_3","survey_4","survey_5","enviro_layer","mode_depth"
"1","Acadian redifsh","Sebastes","fasciatus","groundfish",3385,1993,2019,27,"NEUS-Spring","NEUS-Fall",NA,NA,NA,"bottom",NA
"2","American plaice","Hippoglossoides","platessoides","groundfish",4279,1993,2019,27,"NEUS-Spring","NEUS-Fall",NA,NA,NA,"bottom",NA
"3","Arrowtooth flounder","Atheresthes","stomias","groundfish",4776,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"4","Atlantic chub mackerel","Scomber","colias","forage fish",0,Inf,-Inf,0,NA,NA,NA,NA,NA,NA,NA
"5","Atlantic cod","Gadus","morhua","groundfish",3629,1993,2020,28,"NEUS-Spring","NEUS-Fall",NA,NA,NA,"bottom",NA
"6","Atlantic goliath grouper","Epinephelus","itajara","reef fish",1,2011,2011,1,"SEUS-spring",NA,NA,NA,NA,"bottom",NA
"7","Atlantic halibut","Hippoglossus","hippoglossus","groundfish",390,1993,2019,27,"NEUS-Spring","NEUS-Fall",NA,NA,NA,"bottom",NA
"8","Atlantic herring","Clupea","harengus","forage fish",7408,1993,2020,28,"NEUS-Spring","NEUS-Fall",NA,NA,NA,NA,50
"9","Atlantic mackerel","Scomber","scombrus","forage fish",3346,1993,2020,28,"NEUS-Spring","NEUS-Fall","SEUS-spring","SEUS-summer",NA,NA,50
"10","Atlantic pollock","Pollachius","virens","groundfish",1845,1993,2019,27,"NEUS-Spring","NEUS-Fall",NA,NA,NA,"bottom",NA
"11","Atlantic wolffish","Anarhichas","lupus","groundfish",296,1993,2019,27,"NEUS-Spring","NEUS-Fall",NA,NA,NA,"bottom",NA
"12","Black grouper","Mycteroperca","bonaci","reef fish",1,2006,2006,1,"NEUS-Fall",NA,NA,NA,NA,"bottom",NA
"13","Black sea bass","Centropristis","striata","reef fish",3176,1993,2020,28,"NEUS-Spring","NEUS-Fall","SEUS-spring","SEUS-summer","SEUS-fall","bottom",NA
"14","Black sea bass","Centropristis","striata","reef fish",3176,1993,2020,28,"NEUS-Spring","NEUS-Fall","SEUS-spring","SEUS-summer","SEUS-fall","bottom",NA
"15","Bluefish","Pomatomus","saltatrix","schooling; pelagic",4409,1993,2020,28,"NEUS-Spring","NEUS-Fall","SEUS-spring","SEUS-summer","SEUS-fall",NA,25
"16","Bocacccio","Sebastes","paucispinis","rockfish",916,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"17","Butterfish","Peprilus","triacanthus","schooling; semi-pelagic",11945,1993,2020,28,"NEUS-Spring","NEUS-Fall","SEUS-spring","SEUS-summer","SEUS-fall",NA,100
"18","Canary rockfish","Sebastes","pinniger","rockfish",1139,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"19","Dover sole","Microstomus","pacificus","groundfish",10370,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"20","English sole","Parophrys","vetulus","groundfish",5503,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"21","Gag grouper","Mycteroperca","microlepis","reef fish",6,1993,2015,5,"NEUS-Spring","NEUS-Fall","SEUS-fall",NA,NA,"bottom",NA
"22","Golden tilefish","Lopholatilus","chamaeleonticeps","reef fish",94,1993,2020,22,"NEUS-Spring","NEUS-Fall",NA,NA,NA,"bottom",NA
"23","Golden tilefish","Lopholatilus","chamaeleonticeps","reef fish",94,1993,2020,22,"NEUS-Spring","NEUS-Fall",NA,NA,NA,"bottom",NA
"24","Gray triggerfish","Balistes","capriscus","reef fish",198,1993,2020,27,"NEUS-Fall","NEUS-Spring","SEUS-spring","SEUS-summer","SEUS-fall","bottom",NA
"25","Haddock","Melanogrammus","aeglefinus","groundfish",4737,1993,2019,27,"NEUS-Spring","NEUS-Fall",NA,NA,NA,"bottom",NA
"26","King mackerel","Scomberomorus","cavalla","coastal pelagic",1644,1993,2020,28,"NEUS-Fall","NEUS-Spring","SEUS-spring","SEUS-summer","SEUS-fall",NA,25
"27","Lingcod","Ophiodon","elongatus","groundfish",4317,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"28","Monkfish","Lophius","americanus","groundfish",5700,1993,2020,28,"NEUS-Spring","NEUS-Fall","SEUS-spring",NA,NA,"bottom",NA
"29","Nassau grouper","Epinephelus","striatus","reef fish",0,Inf,-Inf,0,NA,NA,NA,NA,NA,"bottom",NA
"30","Northern anchovy","Engraulis","mordax","schooling",337,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,NA,25
"31","Ocean pout","Zoarces","americanus","groundfish",3728,1993,2020,28,"NEUS-Spring","NEUS-Fall",NA,NA,NA,"bottom",NA
"32","Pacific halibut","Hippoglossus","stenolepis","groundfish",1162,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"33","Pacific herring","Clupea","pallasii","schooling",1412,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,NA,100
"34","Pacific mackerel","Scomber","japonicus","schooling",440,1993,2019,26,"NEUS-Fall","NEUS-Spring","SEUS-spring","SEUS-summer","SEUS-fall",NA,100
"35","Pacific ocean perch","Sebastes","alutus","rockfish",1084,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"36","Pacific sardine","Sardinops","sagax","schooling",271,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,NA,100
"37","Pacific whiting","Merluccius","productus","groundfish",7032,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"38","Petrale sole","Eopsetta","jordani","groundfish",5492,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"39","Red grouper","Epinephelus","morio","groundfish",1,2011,2011,1,"SEUS-fall",NA,NA,NA,NA,"bottom",NA
"40","Red hake","Urophycis","chuss","semi-pelagic",8497,1993,2020,28,"NEUS-Spring","NEUS-Fall",NA,NA,NA,NA,100
"41","Red snapper","Lutjanus","campechanus","reef fish?",32,1995,2019,19,"NEUS-Spring","NEUS-Fall","SEUS-fall","SEUS-summer",NA,"bottom",NA
"42","Rex sole","Glyptocephalus","zachirus","groundfish",8173,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"43","Sablefish","Anoplopoma","fimbria","groundfish",8022,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"44","Scup","Stenotomus","chrysops","semi-pelagic",2886,1993,2020,28,"NEUS-Spring","NEUS-Fall",NA,NA,NA,NA,25
"45","Shortspine thornyhead","Sebastolobus","alascanus","rockfish",5987,1995,2018,19,"WCANN","WCTRI",NA,NA,NA,"bottom",NA
"46","Silver hake","Merluccius","bilinearis","semi-pelagic",11662,1993,2020,28,"NEUS-Spring","NEUS-Fall","SEUS-spring",NA,NA,NA,100
"47","Spanish mackerel","Scomberomorus","maculatus","schooling; pelagic",3730,1993,2019,27,"NEUS-Fall","NEUS-Spring","SEUS-spring","SEUS-summer","SEUS-fall",NA,15
"48","Summer flounder","Paralichthys","dentatus","groundfish",7721,1993,2020,28,"NEUS-Spring","NEUS-Fall","SEUS-spring","SEUS-summer","SEUS-fall","bottom",NA
"49","Tilefish","Caulolatilus","microps","reef fish",34,1994,2020,16,"NEUS-Fall","NEUS-Spring",NA,NA,NA,"bottom",NA
